user_id,experiment_group
1,treatment
2,treatment
3,control
4,treatment
5,control
6,control
7,treatment
8,control
9,control
10,treatment
12,treatment
13,treatment
14,control
15,treatment
16,treatment
17,control
18,treatment
19,treatment
20,control
21,control
22,treatment
23,control
24,control
25,treatment
26,treatment
28,treatment
29,control
30,control
32,treatment
33,treatment
36,treatment
37,treatment
38,treatment
40,control
41,treatment
42,treatment
43,treatment
44,treatment
46,control
47,control
48,control
50,treatment
51,control
53,control
55,treatment
57,control
58,treatment
59,control
61,control
62,treatment
63,control
64,treatment
65,treatment
66,treatment
69,control
70,treatment
73,treatment
74,control
75,control
78,treatment
80,treatment
82,treatment
83,treatment
84,control
85,treatment
87,treatment
89,treatment
90,treatment
91,control
92,treatment
93,treatment
95,control
96,control
97,treatment
100,treatment
101,treatment
102,control
103,treatment
104,treatment
105,treatment
106,treatment
107,treatment
108,control
110,control
112,control
113,control
115,treatment
116,treatment
118,treatment
120,control
121,control
122,control
123,treatment
125,control
126,control
128,control
129,treatment
132,treatment
133,treatment
134,treatment
135,treatment
137,treatment
138,control
140,control
141,control
142,treatment
143,treatment
146,control
147,treatment
148,control
149,treatment
150,treatment
151,treatment
152,treatment
153,treatment
154,control
155,treatment
157,treatment
158,treatment
160,control
161,control
164,control
165,control
166,treatment
167,control
168,treatment
169,treatment
170,treatment
171,control
172,control
174,treatment
177,treatment
178,control
179,treatment
180,treatment
181,treatment
182,treatment
183,treatment
184,treatment
187,treatment
188,control
189,control
190,treatment
192,treatment
193,treatment
196,treatment
198,treatment
199,control
200,control
201,treatment
203,treatment
204,control
205,treatment
207,treatment
208,treatment
209,treatment
210,treatment
211,control
212,control
213,treatment
215,control
216,control
217,control
219,treatment
220,treatment
221,treatment
222,treatment
223,control
224,treatment
226,treatment
227,control
228,control
229,control
230,control
231,treatment
232,treatment
233,control
234,treatment
235,treatment
236,treatment
237,control
238,control
241,treatment
242,treatment
243,control
244,control
245,control
246,treatment
247,treatment
248,treatment
249,control
250,treatment
251,treatment
