session_id,user_id,session_start,app_version
1,1,2024-12-26 13:12:26,3.2
2,1,2024-11-02 15:39:20,3.4
3,1,2024-11-21 12:09:00,3.2
4,1,2024-11-18 19:09:16,3.4
5,1,2024-12-05 11:04:15,3.4
6,1,2024-11-15 14:19:23,3.1
7,2,2024-11-09 21:07:58,3.4
8,2,2024-08-29 10:43:24,3.4
9,3,2024-11-30 22:50:07,3.4
10,3,2024-12-08 19:26:00,3.3
11,3,2024-11-24 12:59:50,3.4
12,3,2024-12-25 17:47:07,3.4
13,3,2024-12-30 20:39:08,3.4
14,3,2024-12-17 22:43:38,3.2
15,3,2024-12-12 19:26:35,3.4
16,3,2024-12-06 12:02:14,3.3
17,4,2024-09-07 11:04:33,3.2
18,4,2024-12-25 21:54:35,3.4
19,4,2024-10-05 00:21:58,3.2
20,4,2024-11-25 11:20:40,3.2
21,5,2024-06-07 19:19:19,3.4
22,5,2024-04-25 13:00:36,3.4
23,5,2024-09-20 06:57:24,3.4
24,5,2024-01-10 19:32:29,3.4
25,5,2023-09-16 02:06:16,3.4
26,5,2024-02-09 20:24:17,3.3
27,5,2023-10-15 22:09:29,3.3
28,5,2024-12-24 14:17:50,3.2
29,6,2024-10-04 03:13:54,3.4
30,6,2024-11-20 12:39:40,3.4
31,6,2024-12-09 14:38:14,3.3
32,6,2024-08-24 19:25:47,3.4
33,6,2024-10-09 08:52:40,3.3
34,6,2024-10-12 07:53:24,3.1
35,6,2024-09-08 14:51:28,3.3
36,7,2024-12-24 16:22:31,3.4
37,7,2024-10-21 11:43:53,3.1
38,8,2024-07-11 18:41:21,3.3
39,8,2024-11-17 08:20:14,3.3
40,9,2024-04-03 02:17:28,3.3
41,9,2024-11-27 13:38:19,3.4
42,9,2024-07-04 20:40:37,3.4
43,9,2024-03-17 15:33:04,3.4
44,9,2024-02-20 13:06:01,3.4
45,10,2024-09-30 00:04:28,3.4
46,10,2024-01-22 19:20:36,3.4
47,10,2023-12-28 20:52:59,3.1
48,10,2024-11-30 08:59:56,3.2
49,10,2023-09-26 17:48:27,3.4
50,11,2024-01-24 18:10:59,3.2
51,11,2024-02-02 12:51:22,3.3
52,12,2024-07-22 14:14:14,3.3
53,12,2024-11-21 15:42:36,3.4
54,12,2024-12-12 22:23:10,3.3
55,12,2024-02-12 15:43:01,3.4
56,12,2024-12-25 11:15:58,3.1
57,12,2024-01-16 12:44:51,3.4
58,13,2024-10-28 18:22:13,3.4
59,13,2024-06-11 22:39:30,3.4
60,13,2024-12-04 11:29:13,3.4
61,14,2024-06-26 20:44:58,3.3
62,14,2024-10-08 15:46:09,3.4
63,14,2024-05-02 20:51:35,3.4
64,14,2024-10-18 13:21:42,3.3
65,14,2024-12-06 10:30:42,3.4
66,14,2024-11-01 14:05:16,3.4
67,14,2024-05-25 12:12:50,3.2
68,14,2024-09-25 22:24:28,3.4
69,15,2024-10-05 13:35:41,3.2
70,15,2024-11-03 21:29:38,3.2
71,15,2024-10-20 13:21:01,3.3
72,15,2024-12-19 16:12:59,3.4
73,15,2024-11-07 13:25:13,3.4
74,16,2024-12-06 01:18:42,3.4
75,16,2024-11-05 13:00:54,3.4
76,16,2024-10-13 12:08:30,3.4
77,16,2024-09-08 19:25:25,3.4
78,16,2024-09-21 13:08:38,3.4
79,16,2024-08-28 13:39:59,3.3
80,17,2024-11-08 06:05:50,3.4
81,17,2024-12-30 08:49:47,3.2
82,18,2024-02-20 14:26:04,3.4
83,18,2024-07-05 11:16:50,3.3
84,18,2024-12-20 18:05:08,3.4
85,18,2023-11-14 00:43:47,3.4
86,18,2023-08-13 19:12:33,3.4
87,18,2024-04-10 21:39:03,3.4
