user_id,signup_date,city,device_type,user_type
1,2024-10-16,Mumbai,ios,returning
2,2023-09-08,Delhi,android,returning
3,2024-11-23,Chennai,android,returning
4,2024-08-27,Bangalore,android,returning
5,2023-08-12,Delhi,android,returning
6,2024-07-28,Mumbai,android,returning
7,2024-07-12,Bangalore,android,returning
8,2023-10-12,Pune,android,returning
9,2023-06-13,Chennai,android,returning
10,2023-06-09,Delhi,ios,returning
11,2023-04-15,Mumbai,android,returning
12,2023-12-19,Hyderabad,ios,returning
13,2024-04-15,Hyderabad,ios,returning
14,2024-01-23,Mumbai,android,returning
15,2024-10-05,Hyderabad,ios,returning
16,2024-08-14,Mumbai,android,returning
17,2024-11-08,Delhi,android,returning
18,2023-03-23,Kolkata,ios,returning
19,2024-01-25,Delhi,android,returning
20,2024-01-09,Mumbai,android,returning
21,2024-11-17,Delhi,ios,returning
22,2024-10-25,Mumbai,android,returning
23,2024-06-30,Chennai,android,returning
24,2024-01-24,Delhi,ios,returning
25,2024-12-05,Hyderabad,android,new
26,2023-02-27,Delhi,android,returning
27,2023-11-20,Bangalore,android,returning
28,2024-08-03,Kolkata,android,returning
29,2024-11-02,Bangalore,ios,returning
30,2024-10-20,Bangalore,android,returning
31,2023-09-10,Chennai,android,returning
32,2024-08-21,Bangalore,android,returning
33,2024-01-06,Delhi,ios,returning
34,2024-06-05,Bangalore,ios,returning
35,2023-04-23,Mumbai,android,returning
36,2024-11-27,Bangalore,android,returning
37,2024-01-26,Hyderabad,android,returning
38,2023-09-15,Surat,ios,returning
39,2023-01-12,Chennai,android,returning
40,2024-07-03,Pune,ios,returning
41,2023-12-15,Mumbai,android,returning
42,2024-04-09,Mumbai,android,returning
43,2023-09-27,Surat,ios,returning
44,2024-06-03,Ahmedabad,ios,returning
45,2023-11-02,Kolkata,android,returning
46,2023-07-23,Mumbai,ios,returning
47,2024-07-06,Jaipur,ios,returning
48,2023-01-01,Hyderabad,android,returning
49,2023-04-25,Ahmedabad,ios,returning
50,2023-11-11,Delhi,android,returning
51,2024-08-03,Jaipur,android,returning
52,2024-05-12,Pune,ios,returning
53,2024-06-29,Pune,android,returning
54,2024-05-01,Jaipur,android,returning
55,2024-06-24,Kolkata,android,returning
56,2023-08-05,Ahmedabad,ios,returning
57,2024-12-07,Delhi,android,new
58,2024-11-18,Hyderabad,android,returning
59,2024-06-13,Bangalore,android,returning
60,2023-03-07,Delhi,android,returning
61,2023-08-24,Hyderabad,android,returning
62,2024-12-25,Hyderabad,android,new
63,2023-02-02,Kolkata,android,returning
64,2023-09-01,Delhi,android,returning
65,2024-07-06,Mumbai,ios,returning
66,2024-08-07,Hyderabad,android,returning
67,2024-04-29,Pune,android,returning
68,2023-04-10,Chennai,android,returning
69,2024-02-25,Bangalore,android,returning
70,2024-11-20,Chennai,android,returning
71,2023-03-04,Bangalore,android,returning
72,2023-04-22,Delhi,android,returning
73,2024-04-04,Mumbai,android,returning
74,2024-04-18,Delhi,ios,returning
75,2024-03-29,Pune,ios,returning
76,2023-04-11,Mumbai,ios,returning
77,2023-01-16,Jaipur,ios,returning
78,2023-08-31,Mumbai,android,returning
79,2023-08-07,Kolkata,ios,returning
80,2023-06-18,Delhi,ios,returning
81,2023-09-29,Ahmedabad,ios,returning
82,2023-10-20,Bangalore,ios,returning
83,2024-07-23,Chennai,android,returning
84,2023-07-14,Delhi,ios,returning
85,2024-08-16,Chennai,android,returning
86,2023-11-18,Mumbai,android,returning
87,2024-05-29,Ahmedabad,android,returning
88,2023-02-28,Jaipur,android,returning
